CRIM,INDUS,RM,AGE,DIS,TAX,LSTAT
0.03659,4.86,,32.2,5.4007,281,6.72
0.03551,4.86,6.167,46.7,5.4007,281,7.51
0.05059,4.49,,48,4.7794,247,9.62
0.05735,4.49,6.63,56.1,4.4377,247,6.53
0.05188,4.49,6.015,45.1,4.4272,247,12.86
0.07151,4.49,,56.8,3.7476,247,8.44
0.0566,3.41,7.007,86.3,3.4217,270,5.5
0.05302,3.41,7.079,63.1,3.4145,270,5.7
0.04684,3.41,,66.1,3.0923,270,8.81
0.03932,3.41,6.405,73.9,3.0921,270,8.2
0.04203,15.04,,53.6,3.6659,270,8.16
0.02875,15.04,6.211,28.9,3.6659,270,6.21
0.04294,15.04,6.249,77.3,3.615,270,10.59
0.12204,2.89,6.625,57.8,3.4952,276,6.65
0.11504,2.89,,69.6,3.4952,276,11.34
0.12083,2.89,8.069,76,3.4952,276,4.21
0.08187,2.89,7.82,36.9,3.4952,276,3.57
0.0686,2.89,,62.5,3.4952,276,6.19
0.14866,8.56,6.727,79.9,2.7778,384,9.42
0.11432,8.56,6.781,71.3,2.8561,384,7.67
0.22876,8.56,6.405,85.4,2.7147,384,10.63
0.21161,8.56,,87.4,2.7147,384,13.44
0.1396,8.56,6.167,90,2.421,384,12.33
0.13262,8.56,5.851,96.7,2.1069,384,16.47
0.1712,8.56,,91.9,2.211,384,18.66
0.13117,8.56,6.127,85.2,2.1224,384,14.09
0.12802,8.56,6.474,97.1,2.4329,384,12.27
0.26363,8.56,,91.2,2.5451,384,15.55
0.10793,8.56,6.195,54.4,2.7778,384,13
0.10084,10.01,6.715,81.6,2.6775,432,10.16
0.12329,10.01,,92.9,2.3534,432,16.21
0.22212,10.01,6.092,95.4,2.548,432,17.09
0.14231,10.01,6.254,84.2,2.2565,432,10.45
0.17134,10.01,,88.2,2.4631,432,15.76
0.13158,10.01,6.176,72.5,2.7301,432,12.04
0.15098,10.01,6.021,82.6,2.7474,432,10.3
0.13058,10.01,,73.1,2.4775,432,15.37
0.14476,10.01,5.731,65.2,2.7592,432,13.61
0.06899,25.65,5.87,69.7,2.2577,188,14.37
0.07165,25.65,,84.1,2.1974,188,14.27
0.09299,25.65,5.961,92.9,2.0869,188,17.93
0.15038,25.65,5.856,97,1.9444,188,25.41
0.09849,25.65,5.879,95.8,2.0063,188,17.58
0.16902,25.65,,88.4,1.9929,188,14.81
0.38735,25.65,5.613,95.6,1.7572,188,27.26
0.25915,21.89,5.693,96,1.7883,437,17.19
0.32543,21.89,,98.8,1.8125,437,15.39
0.88125,21.89,5.637,94.7,1.9799,437,18.34
0.34006,21.89,6.458,98.9,2.1185,437,12.6
1.19294,21.89,6.326,97.7,2.271,437,12.26
0.59005,21.89,,97.9,2.3274,437,11.12
0.32982,21.89,5.822,95.4,2.4699,437,15.03
0.97617,21.89,5.757,98.4,2.346,437,17.31
0.55778,21.89,,98.2,2.1107,437,16.96
0.32264,21.89,5.942,93.5,1.9669,437,16.9
0.35233,21.89,,98.4,1.8498,437,14.59
0.2498,21.89,5.857,98.2,1.6686,437,21.32
0.54452,21.89,6.151,97.9,1.6687,437,18.46
0.2909,21.89,,93.6,1.6119,437,24.16
1.62864,21.89,5.019,100,1.4394,437,34.41
3.32105,19.58,,100,1.3216,403,26.82
4.0974,19.58,5.468,100,1.4118,403,26.42
2.77974,19.58,4.903,97.8,1.3459,403,29.29
2.37934,19.58,,100,1.4191,403,27.8
2.15505,19.58,5.628,100,1.5166,403,16.65
2.36862,19.58,4.926,95.7,1.4608,403,29.53
2.33099,19.58,,93.8,1.5296,403,28.32
2.73397,19.58,5.597,94.9,1.5257,403,21.45
1.6566,19.58,6.122,97.3,1.618,403,14.1
1.49632,19.58,,100,1.5916,403,13.28
1.12658,19.58,5.012,88,1.6102,403,12.12
2.14918,19.58,5.709,98.5,1.6232,403,15.79
1.41385,19.58,6.129,96,1.7494,403,15.12
3.53501,19.58,,82.6,1.7455,403,15.02
2.44668,19.58,5.272,94,1.7364,403,16.14
1.22358,19.58,6.943,97.4,1.8773,403,4.59
1.34284,19.58,,100,1.7573,403,6.43
1.42502,19.58,6.51,100,1.7659,403,7.39
1.27346,19.58,6.25,92.6,1.7984,403,5.5
1.46336,19.58,,90.8,1.9709,403,1.73
1.83377,19.58,7.802,98.2,2.0407,403,1.92
1.51902,19.58,,93.9,2.162,403,3.32
2.24236,19.58,5.854,91.8,2.422,403,11.64
2.924,19.58,,93,2.2834,403,9.81
2.01019,19.58,7.929,96.2,2.0459,403,3.7
1.80028,19.58,5.877,79.2,2.4259,403,12.14
2.3004,19.58,,96.1,2.1,403,11.1
2.44953,19.58,6.402,95.2,2.2625,403,11.32
1.20742,19.58,,94.6,2.4259,403,14.43
2.3139,19.58,5.88,97.3,2.3887,403,12.03
0.13914,4.05,5.572,88.5,2.5961,296,14.69
0.09178,4.05,,84.1,2.6463,296,9.04
0.08447,4.05,5.859,68.7,2.7019,296,9.64
0.06664,4.05,,33.1,3.1323,296,5.33
0.07022,4.05,6.02,47.2,3.5549,296,10.11
0.05425,4.05,6.315,73.4,3.3175,296,6.29
0.06642,4.05,,74.4,2.9153,296,6.92
0.0578,2.46,6.98,58.4,2.829,193,5.04
0.06588,2.46,7.765,83.3,2.741,193,7.56
0.06888,2.46,6.144,62.2,2.5979,193,9.45
0.09103,2.46,,92.2,2.7006,193,4.82
0.10008,2.46,6.563,95.6,2.847,193,5.68
0.08308,2.46,5.604,89.8,2.9879,193,13.98
0.06047,2.46,,68.8,3.2797,193,13.15
0.05602,2.46,7.831,53.6,3.1992,193,4.45
0.07875,3.44,6.782,41.1,3.7886,398,6.68
0.12579,3.44,,29.1,4.5667,398,4.56
0.0837,3.44,7.185,38.9,4.5667,398,5.39
0.09068,3.44,,21.5,6.4798,398,5.1
0.06911,3.44,6.739,30.8,6.4798,398,4.69
0.08664,3.44,7.178,26.3,6.4798,398,2.87
0.02187,2.93,,9.9,6.2196,265,5.03
0.01439,2.93,6.604,18.8,6.2196,265,4.38
0.01381,0.46,,32,5.6484,255,2.97
0.04011,1.52,7.287,34.1,7.309,329,4.08
0.04666,1.52,7.107,36.6,7.309,329,8.61
0.03768,1.52,,38.3,7.309,329,6.62
0.0315,1.47,6.975,15.3,7.6534,402,4.56
0.01778,1.47,7.135,13.9,7.6534,402,4.45
0.03445,2.03,,38.4,6.27,348,7.43
0.02177,2.03,7.61,15.7,6.27,348,3.11
0.0351,2.68,7.853,33.2,5.118,224,3.81
0.02009,2.68,,31.9,5.118,224,2.88
0.13642,10.59,5.891,22.3,3.9454,277,10.87
0.22969,10.59,6.326,52.5,4.3549,277,10.97
0.25199,10.59,,72.7,4.3549,277,18.06
0.13587,10.59,6.064,59.1,4.2392,277,14.66
0.43571,10.59,5.344,100,3.875,277,23.09
0.17446,10.59,,92.1,3.8771,277,17.27
0.37578,10.59,5.404,88.6,3.665,277,23.98
0.21719,10.59,5.807,53.8,3.6526,277,16.03
0.14052,10.59,,32.3,3.9454,277,9.38
0.28955,10.59,5.412,9.8,3.5875,277,29.55
0.19802,10.59,,42.4,3.9454,277,9.47
0.0456,13.89,5.888,56,3.1121,276,13.51
0.07013,13.89,6.642,85.1,3.4211,276,9.69
0.11069,13.89,,93.8,2.8893,276,17.92
0.11425,13.89,6.373,92.4,3.3633,276,10.5
0.35809,6.2,,88.5,2.8617,307,9.71
0.40771,6.2,6.164,91.3,3.048,307,21.46
0.62356,6.2,6.879,77.7,3.2721,307,9.93
0.6147,6.2,,80.8,3.2721,307,7.6
0.31533,6.2,8.266,78.3,2.8944,307,4.14
0.52693,6.2,8.725,83,2.8944,307,4.63
0.38214,6.2,,86.5,3.2157,307,3.13
0.41238,6.2,7.163,79.9,3.2157,307,6.36
0.29819,6.2,7.686,17,3.3751,307,3.92
0.44178,6.2,6.552,21.4,3.3751,307,3.76
0.537,6.2,,68.1,3.6715,307,11.65
0.46296,6.2,7.412,76.9,3.6715,307,5.25
0.57529,6.2,,73.3,3.8384,307,2.47
0.33147,6.2,8.247,70.4,3.6519,307,3.95
0.44791,6.2,,66.5,3.6519,307,8.05
0.33045,6.2,6.086,61.5,3.6519,307,10.88
0.52058,6.2,6.631,76.5,4.148,307,9.54
0.51183,6.2,,71.6,4.148,307,4.73
0.08244,4.93,6.481,18.5,6.1899,300,6.36
0.09252,4.93,6.606,42.2,6.1899,300,7.37
0.11329,4.93,,54.3,6.3361,300,11.38
0.10612,4.93,6.095,65.1,6.3361,300,12.4
0.1029,4.93,6.358,52.9,7.0355,300,11.22
0.12757,4.93,,7.8,7.0355,300,5.19
0.20608,5.86,5.593,76.5,7.9549,330,12.5
0.19133,5.86,5.605,70.2,7.9549,330,18.46
0.33983,5.86,,34.9,8.0555,330,9.16
0.19657,5.86,6.226,79.2,8.0555,330,10.15
0.16439,5.86,6.433,49.1,7.8265,330,9.52
0.19073,5.86,,17.5,7.8265,330,6.56
0.1403,5.86,6.487,13,7.3967,330,5.9
0.21409,5.86,6.438,8.9,7.3967,330,3.59
0.08221,5.86,,6.8,8.9067,330,3.53
0.36894,5.86,8.259,8.4,8.9067,330,3.54
0.04819,3.64,6.108,32,9.2203,315,6.57
0.03548,3.64,,19.1,9.2203,315,9.25
0.01538,3.75,7.454,34.2,6.3361,244,3.11
0.61154,3.97,8.704,86.9,1.801,264,5.12
0.66351,3.97,,100,1.8946,264,7.79
0.65665,3.97,6.842,100,2.0107,264,6.9
0.54011,3.97,7.203,81.8,2.1121,264,9.59
0.53412,3.97,,89.4,2.1398,264,7.26
0.52014,3.97,8.398,91.5,2.2885,264,5.91
0.82526,3.97,7.327,94.5,2.0788,264,11.25
0.55007,3.97,,91.6,1.9301,264,8.1
0.76162,3.97,5.56,62.8,1.9865,264,10.45
0.7857,3.97,7.014,84.6,2.1329,264,14.79
0.57834,3.97,,67,2.4216,264,7.44
0.5405,3.97,7.47,52.6,2.872,264,3.16
0.09065,6.96,5.92,61.5,3.9175,223,13.65
0.29916,6.96,,42.1,4.429,223,13
0.16211,6.96,6.24,16.3,4.429,223,6.59
0.1146,6.96,6.538,58.7,3.9175,223,7.73
0.22188,6.96,,51.8,4.3665,223,6.58
0.05644,6.41,6.758,32.9,4.0776,254,3.53
0.09604,6.41,6.854,42.8,4.2673,254,2.98
0.10469,6.41,,49,4.7872,254,6.05
0.06127,6.41,6.826,27.6,4.8628,254,4.16
0.07978,6.41,6.482,32.1,4.1403,254,7.19
0.21038,3.33,,32.2,4.1007,216,4.85
0.03578,3.33,7.82,64.5,4.6947,216,3.76
0.03705,3.33,6.968,37.2,5.2447,216,4.59
0.06129,3.33,,49.7,5.2119,216,3.01
0.01501,1.21,7.923,24.8,5.885,198,3.16
0.00906,2.97,7.088,20.8,7.3073,285,7.85
0.01096,2.25,6.453,31.9,7.3073,300,8.23
0.01965,1.76,,31.5,9.0892,241,12.93
0.03871,5.32,6.209,31.3,7.3172,293,7.14
0.0459,5.32,6.315,45.6,7.3172,293,7.6
0.04297,5.32,,22.9,7.3172,293,9.51
0.03502,4.95,6.861,27.9,5.1167,245,3.33
0.07886,4.95,,27.7,5.1167,245,3.56
0.03615,4.95,6.63,23.4,5.1167,245,4.7
0.08265,13.92,6.127,18.4,5.5027,289,8.58
0.08199,13.92,6.009,42.3,5.5027,289,10.4
0.12932,13.92,,31.1,5.9604,289,6.27
0.05372,13.92,6.549,51,5.9604,289,7.39
0.14103,13.92,5.79,58,6.32,289,15.84
0.06466,2.24,,20.1,7.8278,358,4.97
0.05561,2.24,7.041,10,7.8278,358,4.74
0.04417,2.24,6.871,47.4,7.8278,358,6.07
0.03537,6.09,,40.4,5.4917,329,9.5
0.09266,6.09,6.495,18.4,5.4917,329,8.67
0.1,6.09,6.982,17.7,5.4917,329,4.86
0.05515,2.18,,41.1,4.022,222,6.93
0.05479,2.18,6.616,58.1,3.37,222,8.93
0.07503,2.18,7.42,71.9,3.0992,222,6.47
0.04932,2.18,,70.3,3.1827,222,7.53
0.49298,9.9,6.635,82.5,3.3175,304,4.54
0.3494,9.9,5.972,76.7,3.1025,304,9.97
2.63548,9.9,,37.8,2.5194,304,12.64
0.79041,9.9,6.122,52.8,2.6403,304,5.98
0.26169,9.9,6.023,90.4,2.834,304,11.72
0.26938,9.9,,82.8,3.2628,304,7.9
0.3692,9.9,6.567,87.3,3.6023,304,9.28
0.25356,9.9,,77.7,3.945,304,11.5
0.31827,9.9,5.914,83.2,3.9986,304,18.33
0.24522,9.9,5.782,71.7,4.0317,304,15.94
0.40202,9.9,,67.2,3.5325,304,10.36
0.47547,9.9,6.113,58.8,4.0019,304,12.73
0.1676,7.38,,52.3,4.5404,287,7.2
0.18159,7.38,6.376,54.3,4.5404,287,6.87
0.35114,7.38,6.041,49.9,4.7211,287,7.7
0.28392,7.38,,74.3,4.7211,287,11.74
0.34109,7.38,6.415,40.1,4.7211,287,6.12
0.19186,7.38,,14.7,5.4159,287,5.08
0.30347,7.38,6.312,28.9,5.4159,287,6.15
0.24103,7.38,6.083,43.7,5.4159,287,12.79
0.06617,3.24,,25.8,5.2146,430,9.97
0.06724,3.24,6.333,17.2,5.2146,430,7.34
0.04544,3.24,6.144,32.2,5.8736,430,9.09
0.05023,6.06,,28.4,6.6407,304,12.43
0.03466,6.06,6.031,23.3,6.6407,304,7.83
0.05083,5.19,6.316,38.1,6.4584,224,5.68
0.03738,5.19,,38.5,6.4584,224,6.75
0.03961,5.19,6.037,34.5,5.9853,224,8.01
0.03427,5.19,5.869,46.3,5.2311,224,9.8
0.03041,5.19,,59.6,5.615,224,10.56
0.03306,5.19,6.059,37.3,4.8122,224,8.51
0.05497,5.19,,45.4,4.8122,224,9.74
0.06151,5.19,5.968,58.5,4.8122,224,9.29
0.01301,1.52,7.241,49.3,7.0379,284,5.49
0.02498,1.89,,59.7,6.2669,422,8.65
0.02543,3.78,6.696,56.4,5.7321,370,7.18
0.03049,3.78,6.874,28.1,6.4654,370,4.61
0.03113,4.39,,48.5,8.0136,352,10.53
0.06162,4.39,5.898,52.3,8.0136,352,12.67
0.0187,4.15,6.516,27.7,8.5353,351,6.36
0.01501,2.01,,29.7,8.344,280,5.99
0.02899,1.25,6.939,34.5,8.7921,335,5.89
0.06211,1.25,6.49,44.4,8.7921,335,5.98
0.0795,1.69,,35.9,10.7103,411,5.49
0.07244,1.69,5.884,18.5,10.7103,411,7.79
0.01709,2.02,6.728,36.1,12.1265,187,4.5
0.04301,1.91,5.663,21.9,10.5857,334,8.05
0.10659,1.91,5.936,19.5,10.5857,334,5.57
8.98296,18.1,6.212,97.4,2.1222,666,17.6
3.8497,18.1,6.395,91,2.5052,666,13.27
5.20177,18.1,6.127,83.4,2.7227,666,11.48
4.26131,18.1,6.112,81.3,2.5091,666,12.67
4.54192,18.1,6.398,88,2.5182,666,7.79
3.83684,18.1,6.251,91.1,2.2955,666,14.19
3.67822,18.1,5.362,96.2,2.1036,666,10.19
4.22239,18.1,5.803,89,1.9047,666,14.64
3.47428,18.1,8.78,82.9,1.9047,666,5.29
4.55587,18.1,3.561,87.9,1.6132,666,7.12
3.69695,18.1,4.963,91.4,1.7523,666,14
13.5222,18.1,3.863,100,1.5106,666,13.33
4.89822,18.1,,100,1.3325,666,3.26
5.66998,18.1,6.683,96.8,1.3567,666,3.73
6.53876,18.1,7.016,97.5,1.2024,666,2.96
9.2323,18.1,6.216,100,1.1691,666,9.53
8.26725,18.1,5.875,89.6,1.1296,666,8.88
11.1081,18.1,4.906,100,1.1742,666,34.77
18.4982,18.1,4.138,100,1.137,666,37.97
19.6091,18.1,7.313,97.9,1.3163,666,13.44
15.288,18.1,6.649,93.3,1.3449,666,23.24
9.82349,18.1,6.794,98.8,1.358,666,21.24
23.6482,18.1,6.38,96.2,1.3861,666,23.69
17.8667,18.1,6.223,100,1.3861,666,21.78
88.9762,18.1,6.968,91.9,1.4165,666,17.21
15.8744,18.1,6.545,99.1,1.5192,666,21.08
9.18702,18.1,5.536,100,1.5804,666,23.6
7.99248,18.1,5.52,100,1.5331,666,24.56
20.0849,18.1,4.368,91.2,1.4395,666,30.63
16.8118,18.1,,98.1,1.4261,666,30.81
24.3938,18.1,4.652,100,1.4672,666,28.28
22.5971,18.1,5,89.5,1.5184,666,31.99
14.3337,18.1,4.88,100,1.5895,666,30.62
8.15174,18.1,5.39,98.9,1.7281,666,20.85
6.96215,18.1,5.713,97,1.9265,666,17.11
5.29305,18.1,6.051,82.5,2.1678,666,18.76
11.5779,18.1,5.036,97,1.77,666,25.68
8.64476,18.1,6.193,92.6,1.7912,666,15.17
13.3598,18.1,5.887,94.7,1.7821,666,16.35
8.71675,18.1,6.471,98.8,1.7257,666,17.12
5.87205,18.1,6.405,96,1.6768,666,19.37
7.67202,18.1,5.747,98.9,1.6334,666,19.92
38.3518,18.1,5.453,100,1.4896,666,30.59
9.91655,18.1,5.852,77.8,1.5004,666,29.97
25.0461,18.1,5.987,100,1.5888,666,26.77
14.2362,18.1,,100,1.5741,666,20.32
9.59571,18.1,6.404,100,1.639,666,20.31
24.8017,18.1,5.349,96,1.7028,666,19.77
41.5292,18.1,5.531,85.4,1.6074,666,27.38
67.9208,18.1,5.683,100,1.4254,666,22.98
20.7162,18.1,4.138,100,1.1781,666,23.34
11.9511,18.1,5.608,100,1.2852,666,12.13
7.40389,18.1,5.617,97.9,1.4547,666,26.4
14.4383,18.1,6.852,100,1.4655,666,19.78
51.1358,18.1,5.757,100,1.413,666,10.11
14.0507,18.1,6.657,100,1.5275,666,21.22
18.811,18.1,4.628,100,1.5539,666,34.37
28.6558,18.1,5.155,100,1.5894,666,20.08
45.7461,18.1,4.519,100,1.6582,666,36.98
18.0846,18.1,6.434,100,1.8347,666,29.05
10.8342,18.1,,90.8,1.8195,666,25.79
25.9406,18.1,5.304,89.1,1.6475,666,26.64
73.5341,18.1,5.957,100,1.8026,666,20.62
11.8123,18.1,6.824,76.5,1.794,666,22.74
11.0874,18.1,6.411,100,1.8589,666,15.02
7.02259,18.1,6.006,95.3,1.8746,666,15.7
12.0482,18.1,5.648,87.6,1.9512,666,14.1
7.05042,18.1,6.103,85.1,2.0218,666,23.29
8.79212,18.1,5.565,70.6,2.0635,666,17.16
15.8603,18.1,5.896,95.4,1.9096,666,24.39
12.2472,18.1,5.837,59.7,1.9976,666,15.69
37.6619,18.1,6.202,78.7,1.8629,666,14.52
7.36711,18.1,,78.1,1.9356,666,21.52
9.33889,18.1,6.38,95.6,1.9682,666,24.08
8.49213,18.1,6.348,86.1,2.0527,666,17.64
10.0623,18.1,6.833,94.3,2.0882,666,19.69
6.44405,18.1,6.425,74.8,2.2004,666,12.03
5.58107,18.1,6.436,87.9,2.3158,666,16.22
13.9134,18.1,6.208,95,2.2222,666,15.17
11.1604,18.1,6.629,94.6,2.1247,666,23.27
14.4208,18.1,6.461,93.3,2.0026,666,18.05
15.1772,18.1,6.152,100,1.9142,666,26.45
13.6781,18.1,5.935,87.9,1.8206,666,34.02
9.39063,18.1,5.627,93.9,1.8172,666,22.88
22.0511,18.1,5.818,92.4,1.8662,666,22.11
9.72418,18.1,6.406,97.2,2.0651,666,19.52
5.66637,18.1,6.219,100,2.0048,666,16.59
9.96654,18.1,6.485,100,1.9784,666,18.85
12.8023,18.1,,96.6,1.8956,666,23.79
10.6718,18.1,6.459,94.8,1.9879,666,23.98
6.28807,18.1,6.341,96.4,2.072,666,17.79
9.92485,18.1,6.251,96.6,2.198,666,16.44
9.32909,18.1,6.185,98.7,2.2616,666,18.13
7.52601,18.1,6.417,98.3,2.185,666,19.31
6.71772,18.1,6.749,92.6,2.3236,666,17.44
5.44114,18.1,6.655,98.2,2.3552,666,17.73
5.09017,18.1,6.297,91.8,2.3682,666,17.27
8.24809,18.1,7.393,99.3,2.4527,666,16.74
9.51363,18.1,6.728,94.1,2.4961,666,18.71
4.75237,18.1,6.525,86.5,2.4358,666,18.13
4.66883,18.1,5.976,87.9,2.5806,666,19.01
8.20058,18.1,5.936,80.3,2.7792,666,16.94
7.75223,18.1,6.301,83.7,2.7831,666,16.23
6.80117,18.1,6.081,84.4,2.7175,666,14.7
4.81213,18.1,,90,2.5975,666,16.42
3.69311,18.1,6.376,88.4,2.5671,666,14.65
6.65492,18.1,6.317,83,2.7344,666,13.99
5.82115,18.1,6.513,89.9,2.8016,666,10.29
7.83932,18.1,6.209,65.4,2.9634,666,13.22
3.1636,18.1,5.759,48.2,3.0665,666,14.13
3.77498,18.1,5.952,84.7,2.8715,666,17.15
4.42228,18.1,6.003,94.5,2.5403,666,21.32
15.5757,18.1,5.926,71,2.9084,666,18.13
13.0751,18.1,5.713,56.7,2.8237,666,14.76
4.34879,18.1,6.167,84,3.0334,666,16.29
4.03841,18.1,,90.7,3.0993,666,12.87
3.56868,18.1,6.437,75,2.8965,666,14.36
4.64689,18.1,6.98,67.6,2.5329,666,11.66
8.05579,18.1,5.427,95.4,2.4298,666,18.14
6.39312,18.1,6.162,97.4,2.206,666,24.1
4.87141,18.1,6.484,93.6,2.3053,666,18.68
15.0234,18.1,5.304,97.3,2.1007,666,24.91
10.233,18.1,6.185,96.7,2.1705,666,18.03
14.3337,18.1,6.229,88,1.9512,666,13.11
5.82401,18.1,6.242,64.7,3.4242,666,10.74
5.70818,18.1,6.75,74.9,3.3317,666,7.74
5.73116,18.1,7.061,77,3.4106,666,7.01
2.81838,18.1,5.762,40.3,4.0983,666,10.42
2.37857,18.1,5.871,41.9,3.724,666,13.34
3.67367,18.1,,51.9,3.9917,666,10.58
5.69175,18.1,6.114,79.8,3.5459,666,14.98
4.83567,18.1,5.905,53.2,3.1523,666,11.45
0.15086,27.74,5.454,92.7,1.8209,711,18.06
0.18337,27.74,5.414,98.3,1.7554,711,23.97
0.20746,27.74,5.093,98,1.8226,711,29.68
0.10574,27.74,5.983,98.8,1.8681,711,18.07
0.11132,27.74,5.983,83.5,2.1099,711,13.35
0.17331,9.69,5.707,54,2.3817,391,12.01
0.27957,9.69,5.926,42.6,2.3817,391,13.59
0.17899,9.69,5.67,28.8,2.7986,391,17.6
0.2896,9.69,5.39,72.9,2.7986,391,21.14
0.26838,9.69,5.794,70.6,2.8927,391,14.1
0.23912,9.69,6.019,65.3,2.4091,391,12.92
0.17783,9.69,,73.5,2.3999,391,15.1
0.177783,9.69,6.027,79.7,2.4982,391,14.33
0.06263,11.93,6.593,69.1,2.4786,273,9.67
0.04527,11.93,6.12,76.7,2.2875,273,9.08
0.06076,11.93,6.976,91,2.1675,273,5.64
0.10959,11.93,6.794,89.3,2.3889,273,6.48
0.04741,11.93,6.03,80.8,2.505,273,7.88
0.98765,12.5,6.98,89,2.098,320,12
0.23456,12.5,6.98,76,2.654,320,25
0.44433,12.5,6.123,98,2.987,320,21
0.77763,12.7,6.222,34,2.543,329,76
